2025-01-04 19:04:46 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: SIGN_IN
2025-01-04 19:08:54 [Thread-0] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:08:56 [Thread-0] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:11:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:12:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:13:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:14:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:15:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 19:30:43 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 20:00:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 21:23:42 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 21:39:14 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 21:46:30 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 23:57:13 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 23:58:33 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-04 23:58:36 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
