2025-01-07 00:00:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 00:06:22 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 00:08:20 [http-nio-8080-exec-5] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 00:09:21 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 00:12:30 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 02:43:38 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:43:45 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 02:44:02 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 02:47:12 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:48:58 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:50:43 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: SIGN_IN
2025-01-07 02:55:49 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:55:52 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:57:28 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 02:57:31 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 03:14:31 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 03:15:18 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 03:15:39 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 03:18:20 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
